rank,player,teamid,g,tgt,rec,rec.yd,td,rush,rush.yd,rush.td,fpts,fpts.gm
1,Antonio Brown,PIT,15,154,106,"1,284",12,3,9,0,307.3,20.5
2,Jordy Nelson,GB,16,152,97,"1,257",14,0,0,0,306.7,19.2
3,Mike Evans,TB,16,171,96,"1,321",12,0,0,0,300.1,18.8
4,Odell Beckham Jr.,NYG,16,169,101,"1,367",10,1,9,0,298.6,18.7
5,T.Y. Hilton,IND,16,155,91,"1,448",6,0,0,0,271.8,17
6,Julio Jones,ATL,14,129,83,"1,409",6,0,0,0,259.9,18.6
7,Michael Thomas,NO,15,121,92,"1,137",9,0,0,0,259.7,17.3
8,Doug Baldwin,SEA,16,125,94,"1,128",7,3,2,0,249,15.6
9,Larry Fitzgerald,ARI,16,151,108,"1,028",6,1,1,0,246.9,15.4
10,Davante Adams,GB,16,121,75,997,12,0,0,0,246.7,15.4
11,Brandin Cooks,NO,16,117,78,"1,173",8,6,30,0,246.3,15.4
12,Michael Crabtree,OAK,16,145,89,"1,003",8,0,0,0,237.3,14.8
13,Jarvis Landry,MIA,16,131,94,"1,138",4,5,17,0,233.5,14.6
14,Julian Edelman,NE,16,160,98,"1,106",3,12,57,0,232.3,14.5
15,Demaryius Thomas,DEN,16,144,90,"1,083",5,0,0,0,228.3,14.3
16,Amari Cooper,OAK,16,131,82,"1,149",5,1,0,0,226.9,14.2
17,Golden Tate,DET,16,135,91,"1,077",4,10,4,0,223.1,13.9
18,Tyrell Williams,SD,16,119,69,"1,059",7,0,0,0,216.9,13.6
19,Rishard Matthews,TEN,16,108,65,945,9,0,0,0,213.5,13.3
20,Emmanuel Sanders,DEN,15,137,79,"1,032",5,1,4,0,212.6,14.2
21,Terrelle Pryor,CLE,16,141,77,"1,007",4,8,21,1,209.8,13.1
22,Pierre Garcon,WAS,16,114,79,"1,041",3,0,0,0,201.1,12.6
23,Tyreek Hill,KC,16,83,61,593,6,24,267,3,201,12.6
24,Mike Wallace,BAL,16,117,72,"1,017",4,5,31,0,200.8,12.6
25,Kelvin Benjamin,CAR,16,117,63,941,7,0,0,0,199.1,12.4
26,Kenny Britt,LAR,15,111,68,"1,002",5,0,0,0,198.2,13.2
27,DeAndre Hopkins,HOU,16,151,78,954,4,0,0,0,197.4,12.3
28,Allen Robinson,JAC,16,150,73,883,6,0,0,0,197.3,12.3
29,Adam Thielen,MIN,16,92,69,967,5,2,15,0,197.2,12.3
30,Jamison Crowder,WAS,16,99,67,847,7,2,-2,0,193.5,12.1
31,Stefon Diggs,MIN,13,112,84,903,3,3,10,0,193.3,14.9
32,Cole Beasley,DAL,16,98,75,833,5,1,7,0,189,11.8
33,A.J. Green,CIN,10,100,66,964,4,0,0,0,186.4,18.6
34,Brandon LaFell,CIN,16,107,64,862,6,1,-2,0,186,11.6
35,Willie Snead,NO,15,104,72,895,4,0,0,0,185.5,12.4
36,Sterling Shepard,NYG,16,105,65,683,8,3,31,0,184.4,11.5
37,DeSean Jackson,WAS,15,100,56,"1,005",4,0,0,0,180.5,12
38,Steve Smith,BAL,14,102,70,799,5,0,0,0,179.9,12.9
39,Cameron Meredith,CHI,14,97,66,888,4,1,6,0,179.4,12.8
40,Dez Bryant,DAL,13,96,50,796,8,0,0,0,177.6,13.7
41,Anquan Boldin,DET,16,95,67,584,8,0,0,0,173.4,10.8
42,Marvin Jones,DET,15,103,55,930,4,1,3,0,172.3,11.5
43,Marqise Lee,JAC,16,105,63,851,3,6,35,0,169.6,10.6
44,Quincy Enunwa,NYJ,16,105,58,857,4,1,12,0,168.9,10.6
45,Kenny Stills,MIA,16,81,42,726,9,0,0,0,168.6,10.5
46,Ted Ginn Jr.,CAR,16,95,54,752,4,14,98,0,163,10.2
47,Dontrelle Inman,SD,16,97,58,810,4,0,0,0,163,10.2
48,Jordan Matthews,PHI,13,106,67,731,3,0,0,0,158.1,12.2
49,Brandon Marshall,NYJ,15,129,60,787,3,0,0,0,156.7,10.4
50,DeVante Parker,MIA,15,88,56,744,4,0,0,0,154.4,10.3
51,Tavon Austin,LAR,15,106,58,509,3,28,159,1,148.8,9.9
52,Mohamed Sanu,ATL,15,81,59,653,4,1,5,0,148.8,9.9
53,Jeremy Kerley,SF,16,115,64,667,3,0,0,0,148.7,9.3
54,Randall Cobb,GB,13,84,60,610,4,10,33,0,148.3,11.4
55,Alshon Jeffery,CHI,12,94,52,821,2,0,0,0,146.1,12.2
56,Taylor Gabriel,ATL,12,51,36,588,6,4,51,1,141.9,11.8
57,J.J. Nelson,ARI,14,74,34,568,6,4,83,1,141.1,10.1
58,Travis Benjamin,SD,14,75,47,677,4,2,-3,0,138.4,9.9
59,Adam Humphries,TB,15,83,55,622,2,5,18,0,131,8.7
60,Chris Hogan,NE,15,58,38,680,4,3,9,0,130.9,8.7
61,Terrance Williams,DAL,15,61,44,594,4,0,0,0,127.4,8.5
62,Tyler Boyd,CIN,16,81,54,603,1,4,58,0,126.1,7.9
63,Eli Rogers,PIT,13,66,48,594,3,1,6,0,126,9.7
64,Tyler Lockett,SEA,14,66,41,597,1,6,114,1,124.1,8.9
65,Will Fuller,HOU,14,92,47,635,2,1,-3,0,122.2,8.7
66,Robert Woods,BUF,13,76,51,613,1,1,6,0,118.9,9.1
67,Robby Anderson,NYJ,14,78,42,587,2,3,42,0,116.9,8.4
68,Michael Floyd,ARI,14,76,37,488,5,0,0,0,115.8,8.3
69,Brian Quick,LAR,16,77,41,564,3,0,0,0,115.4,7.2
70,Cordarrelle Patterson,MIN,16,70,52,453,2,7,43,0,113.6,7.1
71,Jeremy Maclin,KC,12,76,44,536,2,1,-1,0,109.5,9.1
72,Seth Roberts,OAK,16,77,38,397,5,0,0,0,107.7,6.7
73,Tajae Sharpe,TEN,16,83,41,522,2,1,1,0,105.3,6.6
74,John Brown,ARI,14,72,39,517,2,1,10,0,103.7,7.4
75,Victor Cruz,NYG,14,72,39,586,1,0,0,0,103.6,7.4
76,Donte Moncrief,IND,9,56,30,307,7,1,-1,0,102.6,11.4
77,Breshad Perriman,BAL,15,66,33,499,3,1,2,0,101.1,6.7
78,Allen Hurns,JAC,11,76,35,477,3,0,0,0,100.7,9.2
79,Phillip Dorsett,IND,15,59,33,528,2,2,10,0,98.8,6.6
80,Jermaine Kearse,SEA,16,89,41,511,1,0,0,0,98.1,6.1
81,Chris Conley,KC,16,69,44,530,0,0,0,0,97,6.1
82,Malcolm Mitchell,NE,12,48,32,401,4,0,0,0,96.1,8
83,Corey Coleman,CLE,10,73,33,413,3,2,10,0,93.3,9.3
84,Marquise Goodwin,BUF,14,68,29,431,3,0,0,0,90.1,6.4
85,Kendall Wright,TEN,11,43,29,416,3,1,15,0,90.1,8.2
86,Dorial Green-Beckham,PHI,14,74,36,392,2,0,0,0,87.2,6.2
87,Nelson Agholor,PHI,15,69,36,365,2,5,14,0,85.9,5.7
88,Devin Funchess,CAR,14,58,23,371,4,0,0,0,84.1,6
89,Andrew Hawkins,CLE,16,53,33,324,3,2,0,0,83.4,5.2
90,Sammy Watkins,BUF,8,52,28,430,2,0,0,0,83,10.4
91,Eddie Royal,CHI,9,43,33,369,2,0,0,0,81.9,9.1
92,Albert Wilson,KC,14,51,31,279,2,2,50,1,81.9,5.9
93,Sammie Coates,PIT,11,49,21,435,2,4,14,0,77.9,7.1
94,Quinton Patton,SF,13,63,37,408,0,0,0,0,77.8,6
95,Brandon Coleman,NO,13,38,26,281,3,0,0,0,72.1,5.5
96,Danny Amendola,NE,11,29,23,245,4,0,0,0,71.5,6.5
97,Russell Shepard,TB,12,40,23,341,2,1,9,0,70,5.8
98,Kamar Aiken,BAL,16,50,29,328,1,0,0,0,67.8,4.2
99,Justin Hardy,ATL,11,31,21,203,4,0,0,0,65.3,5.9
100, Torrey Smith,SF,12,49,20,267,3,0,0,0,64.7,5.4
